"NOME","ID_WINGET","CONFIG","OPTIONS"
"7-zip","7zip.7zip",adm,
"Google Chrome","Google.Chrome",adm,
"Firefox","Mozilla.Firefox.pt-BR",adm,
"R","RProject.R",adm,
"R Studio","Posit.RStudio",adm,
"JRE8","Oracle.JavaRuntimeEnvironment",adm,
"Biblivre","local:\b\Biblivre\org\br\BiblivreInternacional\5.0.5",debug,
"OpenRefine","OpenRefine.OpenRefine",usr,"-g"
"Zotero","DigitalScholar.Zotero",adm,
"CmapTools","IHMC.CmapTools",usr,
"Virtual Box","Oracle.VirtualBox",adm,
"LibreOffice","TheDocumentFoundation.LibreOffice",adm,
"Jamovi","Jamovi.Desktop.Current",adm,
"MySQL","Oracle.MySQL",debug,
"IRPF 2025","local:\r\RFB\IRPF2025\1.4",adm,
"GraphDB","local:\o\Ontotext\GraphDBDesktop\10.1.4",debug,
"Gephi","Gephi.Gephi",usr,
"Jasp","UniversityOfAmsterdam.JASP",adm,
"FileZilla","local:\t\TimKosse\FileZilla\3.69.1",adm,
"Blender","BlenderFoundation.Blender",usr,
"Inkscape","Inkscape.Inkscape",usr,
"JabRef","JabRef.JabRef",adm,
"Bizagi Modeler", "local:\b\BizagiLimited\BizagiModeler\4.1.0002",debug,"-i"
"Mendeley Desktop","local:\e\Elsevier\MendeleyDesktop\1.19.8",adm,"-i"
"Factor","ps:ci-factor.ps1",usr,
"DBDesigner","ps:ci-dbdesigner.ps1",usr,
"ARCHIVEMATICA","ps:ci-archivematica.ps1",usr,
"GraphDB_manual","ps:ci-graphdb.ps1",usr,
"Biblivre_manual","ps:ci-biblivre.ps1",usr,
"Bizagi Modeler_manual","ps:ci-bizagi.ps1",usr,
"MySQL Community_manual","ps:ci-mysql.ps1",usr,
"Power BI","Microsoft.PowerBI",usr,
